id,Tweet,Time,Language,Source,Author id,retweet_count,reply_count,like_count,quote_count
1.54E+18,"RT @Karin41652408: @zoller_marco @johannes_rauch Danach wird nicht gesucht, also wird man es auch nicht finden
Pers. bekannt
1. Im zeitlich…",2022-07-04 16:34:34+00:00,de,Twitter for Android,780858566,1,0,0,0
1.54E+18,RT @delbigtree: Avoid proper clinical trials by claiming Emergency Use Authorization. Then skip all future clinical trials of new vaxxeens…,2022-07-04 16:34:34+00:00,en,Twitter for iPhone,1.19E+18,4308,0,0,0
1.54E+18,"RT @vtrinhn: Transcript now available for this informative episode with Dr. @Theresa_Chapple on outdoor transmission of COVID! 

https://t.…",2022-07-04 16:34:34+00:00,en,Twitter for Android,49732755,2,0,0,0
1.54E+18,Kyrie Irving Responds To Kendrick Lamar’s Vaccine Lyric About Him On 'Savior’ https://t.co/MAGdtk7AkD https://t.co/t0wEbes7LN,2022-07-04 16:34:34+00:00,en,dlvr.it,197418521,0,0,0,0
1.54E+18,RT @ken_crichlow: The latest figures for Covid hospital admissions show the number of positive patients in hospital was up by 37 per cent o…,2022-07-04 16:34:34+00:00,en,Twitter for iPhone,327630098,1,0,0,0
1.54E+18,"RT @aragon_jb: Une amie de mon épouse vient de lui dire au téléphone qu'ils ont le covid dans sa famille ""vaccinée"" 4 doses et mon épouse l…",2022-07-04 16:34:34+00:00,fr,Twitter Web App,1.42E+18,163,0,0,0
1.54E+18,"RT @NightHaunter: En Australie, deux enfants non-vaccinés sont mort de la diphtérie, une information qui semble surgir d'un autre siècle ma…",2022-07-04 16:34:33+00:00,fr,Twitter for Android,3351065127,243,0,0,0
1.54E+18,Uma galera com suspeita de COVID. Inclusive eu. Os hospitais daqui da baixada estão cheios de casos,2022-07-04 16:34:33+00:00,pt,Twitter Web App,1.27E+18,0,0,0,0
1.54E+18,RT @jennybethm: BREAKING: The Biden administration has announced a $3.2 billion deal to purchase 105 million doses of Pfizer’s COVID-19 vac…,2022-07-04 16:34:33+00:00,en,Twitter Web App,574084903,1237,0,0,0
1.54E+18,@Paulishonlaffin @5dme81 https://t.co/UCiaOZYRl9,2022-07-04 16:34:33+00:00,qme,Twitter for iPhone,1.31E+18,0,0,0,0
1.54E+18,"RT @Brandon86724235: Most people aren't vaccinated against covid. Most are vaccinated against job loss, public opinion, inability to travel…",2022-07-04 16:34:33+00:00,en,Twitter for Android,956366953,83,0,0,0
1.54E+18,RT @manuelrico: Hoy hace 838 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,2022-07-04 16:34:33+00:00,es,Twitter for Android,229779429,3939,0,0,0
1.54E+18,RT @FartFromAmerika: LASCIENZAH ci ha salvati portando il covid anche d'estate. Ok.,2022-07-04 16:34:32+00:00,it,Twitter for Android,546654601,39,0,0,0
1.54E+18,"RT @raimeygallant: To those giving up on trying to protect themselves from COVID because you don't want to feel like you're ""losing any mor…",2022-07-04 16:34:32+00:00,en,Twitter for Android,83664223,218,0,0,0
1.54E+18,"New Research: Characteristics of Hospital Workers Using a Wellbeing Center Implemented During the COVID-19 Pandemic to Prevent the Emotional Impacts of the Crisis: Introduction

The COVID-19 pandemic has posed an unprecedented… https://t.co/GxCxrT70p7 #PublicHealth #HealthForAll",2022-07-04 16:34:32+00:00,en,dlvr.it,1329397100,0,0,0,0
1.54E+18,"RT @joe_le_zef: L'appli anti-covid me dit éligible à une 4ème dose de vaccin
Je n'en peux plus
A la 3ème mon épouse a perdu connaissance, j…",2022-07-04 16:34:32+00:00,fr,Twitter Web App,1.43E+18,51,0,0,0
